Country,Region,Year,Disease,New_Cases,Deaths,Prevalence_Rate,Incidence_Rate,Population
Nigeria,African,2000,HIV/AIDS,298399,79320,2.71,244.59,122000000
Nigeria,African,2000,Hepatitis B,195322,13391,3.85,160.1,122000000
Nigeria,African,2000,Syphilis,161027,2861,0.95,131.99,122000000
Nigeria,African,2000,HPV,236155,2131,6.2,193.57,122000000
Nigeria,African,2001,HIV/AIDS,290088,68439,2.87,235.19,123341999
Nigeria,African,2001,Hepatitis B,176835,9221,4.16,143.37,123341999
Nigeria,African,2001,Syphilis,165524,3566,0.93,134.2,123341999
Nigeria,African,2001,HPV,232783,2081,6.81,188.73,123341999
Nigeria,African,2002,HIV/AIDS,297907,70783,2.6,238.93,124684000
Nigeria,African,2002,Hepatitis B,169956,10757,3.89,136.31,124684000
Nigeria,African,2002,Syphilis,164994,3127,0.98,132.33,124684000
Nigeria,African,2002,HPV,235216,1706,6.3,188.65,124684000
Nigeria,African,2003,HIV/AIDS,257811,56805,2.72,204.57,126025999
Nigeria,African,2003,Hepatitis B,196398,12959,4.08,155.84,126025999
Nigeria,African,2003,Syphilis,165736,3645,0.89,131.51,126025999
Nigeria,African,2003,HPV,259840,1946,6.22,206.18,126025999
Nigeria,African,2004,HIV/AIDS,290997,63551,2.57,228.47,127368000
Nigeria,African,2004,Hepatitis B,169641,10681,4.31,133.19,127368000
Nigeria,African,2004,Syphilis,168163,3321,0.95,132.03,127368000
Nigeria,African,2004,HPV,248928,1761,5.97,195.44,127368000
Nigeria,African,2005,HIV/AIDS,289494,70838,2.72,224.92,128709999
Nigeria,African,2005,Hepatitis B,201662,12294,4.21,156.68,128709999
Nigeria,African,2005,Syphilis,165250,2839,0.88,128.39,128709999
Nigeria,African,2005,HPV,243429,1893,6.04,189.13,128709999
Nigeria,African,2006,HIV/AIDS,300003,62459,2.62,230.68,130052000
Nigeria,African,2006,Hepatitis B,182137,11459,3.99,140.05,130052000
Nigeria,African,2006,Syphilis,167389,3512,0.95,128.71,130052000
Nigeria,African,2006,HPV,243327,1752,6.65,187.1,130052000
Nigeria,African,2007,HIV/AIDS,248912,63723,2.55,189.44,131394000
Nigeria,African,2007,Hepatitis B,190219,11416,3.9,144.77,131394000
Nigeria,African,2007,Syphilis,154847,3046,0.94,117.85,131394000
Nigeria,African,2007,HPV,243446,2023,6.13,185.28,131394000
Nigeria,African,2008,HIV/AIDS,268617,57080,2.55,202.37,132736000
Nigeria,African,2008,Hepatitis B,211700,13463,4.39,159.49,132736000
Nigeria,African,2008,Syphilis,161088,3491,0.98,121.36,132736000
Nigeria,African,2008,HPV,263321,1962,6.28,198.38,132736000
Nigeria,African,2009,HIV/AIDS,251785,59626,2.91,187.79,134078000
Nigeria,African,2009,Hepatitis B,180348,11078,3.99,134.51,134078000
Nigeria,African,2009,Syphilis,159861,3445,0.96,119.23,134078000
Nigeria,African,2009,HPV,265018,2201,6.27,197.66,134078000
Nigeria,African,2010,HIV/AIDS,280102,58843,2.8,206.84,135419999
Nigeria,African,2010,Hepatitis B,189777,11366,3.82,140.14,135419999
Nigeria,African,2010,Syphilis,167731,2955,0.86,123.86,135419999
Nigeria,African,2010,HPV,259261,2338,6.0,191.45,135419999
Nigeria,African,2011,HIV/AIDS,278830,68744,2.67,203.88,136762000
Nigeria,African,2011,Hepatitis B,173633,10362,4.42,126.96,136762000
Nigeria,African,2011,Syphilis,187295,3730,0.85,136.95,136762000
Nigeria,African,2011,HPV,255334,2086,6.78,186.7,136762000
Nigeria,African,2012,HIV/AIDS,271291,61819,2.63,196.44,138104000
Nigeria,African,2012,Hepatitis B,195058,10023,4.08,141.24,138104000
Nigeria,African,2012,Syphilis,191384,3414,0.97,138.58,138104000
Nigeria,African,2012,HPV,260312,2190,5.94,188.49,138104000
Nigeria,African,2013,HIV/AIDS,258700,66316,2.8,185.52,139446000
Nigeria,African,2013,Hepatitis B,205961,13899,3.86,147.7,139446000
Nigeria,African,2013,Syphilis,170305,3462,0.85,122.13,139446000
Nigeria,African,2013,HPV,251421,2197,6.67,180.3,139446000
Nigeria,African,2014,HIV/AIDS,259598,58395,2.93,184.39,140788000
Nigeria,African,2014,Hepatitis B,195568,13269,3.96,138.91,140788000
Nigeria,African,2014,Syphilis,169818,3330,0.85,120.62,140788000
Nigeria,African,2014,HPV,287967,2475,6.73,204.54,140788000
Nigeria,African,2015,HIV/AIDS,291906,70453,2.9,205.38,142130000
Nigeria,African,2015,Hepatitis B,187441,11791,4.3,131.88,142130000
Nigeria,African,2015,Syphilis,180377,3874,0.85,126.91,142130000
Nigeria,African,2015,HPV,247917,1829,6.78,174.43,142130000
Nigeria,African,2016,HIV/AIDS,245581,52808,2.88,171.17,143472000
Nigeria,African,2016,Hepatitis B,181908,12140,4.19,126.79,143472000
Nigeria,African,2016,Syphilis,175351,3798,0.88,122.22,143472000
Nigeria,African,2016,HPV,289799,2070,6.33,201.99,143472000
Nigeria,African,2017,HIV/AIDS,237900,50789,2.61,164.28,144814000
Nigeria,African,2017,Hepatitis B,203420,12228,3.87,140.47,144814000
Nigeria,African,2017,Syphilis,198120,3605,0.92,136.81,144814000
Nigeria,African,2017,HPV,281605,2414,6.55,194.46,144814000
Nigeria,African,2018,HIV/AIDS,243232,65863,2.57,166.42,146156000
Nigeria,African,2018,Hepatitis B,191712,11463,3.99,131.17,146156000
Nigeria,African,2018,Syphilis,199210,3728,0.98,136.3,146156000
Nigeria,African,2018,HPV,289973,2358,5.85,198.4,146156000
Nigeria,African,2019,HIV/AIDS,270496,57914,2.56,183.39,147498000
Nigeria,African,2019,Hepatitis B,192838,11903,4.43,130.74,147498000
Nigeria,African,2019,Syphilis,213060,4219,0.96,144.45,147498000
Nigeria,African,2019,HPV,283240,2000,5.85,192.03,147498000
Nigeria,African,2020,HIV/AIDS,279834,61773,2.86,188.01,148840000
Nigeria,African,2020,Hepatitis B,197808,13177,4.19,132.9,148840000
Nigeria,African,2020,Syphilis,201454,3877,0.9,135.35,148840000
Nigeria,African,2020,HPV,263640,2341,6.49,177.13,148840000
Nigeria,African,2021,HIV/AIDS,256676,56735,2.62,170.91,150181999
Nigeria,African,2021,Hepatitis B,207191,10959,4.33,137.96,150181999
Nigeria,African,2021,Syphilis,180548,3227,0.93,120.22,150181999
Nigeria,African,2021,HPV,288244,2059,6.14,191.93,150181999
Nigeria,African,2022,HIV/AIDS,281016,63088,2.59,185.46,151524000
Nigeria,African,2022,Hepatitis B,181934,9347,3.87,120.07,151524000
Nigeria,African,2022,Syphilis,182177,3155,0.87,120.23,151524000
Nigeria,African,2022,HPV,275788,2135,6.52,182.01,151524000
Nigeria,African,2023,HIV/AIDS,245319,65500,2.73,160.48,152866000
Nigeria,African,2023,Hepatitis B,211933,11500,3.82,138.64,152866000
Nigeria,African,2023,Syphilis,192381,3929,0.88,125.85,152866000
Nigeria,African,2023,HPV,266674,2052,5.88,174.45,152866000
South Africa,African,2000,HIV/AIDS,108373,28611,2.66,240.83,45000000
